categoria,titulo,descripcion,tiempo_preparacion,tiempo_cocina,tiempo_total,porciones,ingredientes,pasos,url
Meatballs,Easy Slow Cooker Meatballs,This easy crockpot meatballs recipe can be prepared in a slow cooker for a delicious hot meal at the end of the day. Serve with hot cooked spaghetti noodles.,20 mins,8 hrs,8 hrs 20 mins,4,"1 ½ pounds ground beef
1 ¼ cups Italian seasoned bread crumbs
1 medium yellow onion, chopped
2 cloves garlic, minced
¼ cup chopped fresh parsley
1 large egg, beaten
1 (28 ounce) jar spaghetti sauce
1 (16 ounce) can crushed tomatoes
1 (14.25 ounce) can tomato puree","Paso 1: Gather all ingredients.
Paso 2: Place ground beef, bread crumbs, onion, garlic, parsley, and egg in a large bowl. Mix well until evenly combined; shape into 16 meatballs.
Paso 3: Pour spaghetti sauce and crushed tomatoes into the slow cooker; stir in tomato puree. Place the meatballs into the sauce mixture.
Paso 4: Cover and cook on Low for 6 to 8 hours.
Paso 5: Enjoy!",https://www.allrecipes.com/recipe/57981/easy-slow-cooker-meatballs/
Meatballs,Apple Butter Meatballs,"These apple butter meatballs combine savory ground beef and pork with a sweet and tangy apple butter glaze. The meatballs are baked until golden, then tossed in a smooth glaze made from apple butter, bourbon, soy sauce, and a touch of maple syrup. It's an easy yet flavorful dish, perfect as an appetizer or paired with a side for a quick and satisfying meal.",20 mins,20 mins,1 hr,4,"1/2 pound ground beef
1/2 pound ground pork
1/4 cup panko bread crumbs
1/4 cup white onion
1 large egg
1/4 cup milk
3/4 teaspoon salt
1/2 teaspoon granulated garlic
1/4 teaspoon black pepper
1/2 cup apple butter
1/4 cup bourbon whiskey
2 tablespoons soy sauce
2 tablespoons maple syrup
1 teaspoon Dijon mustard
salt to taste","Paso 1: Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.
Paso 2: Combine ground beef, ground pork, panko, onion, milk, egg, salt, granulated garlic, and pepper in a large bowl. If mixture is too soft or wet, place in the refrigerator for 15 to 20 minutes to firm up before rolling. Shape into 24 meatballs, about 1 1/2 inches in diameter, and place on the prepared baking sheet.
Paso 3: Bake meatballs in the preheated oven until no longer pink at the center and browned on the outside, about 20 minutes. An instant read thermometer inserted into the center of meatballs should read 165 degrees F (74 degrees C).
Paso 4: Meanwhile, prepare apple butter bourbon glaze. In a small saucepan, whisk together apple butter, bourbon, soy sauce, maple syrup, and Dijon mustard. Bring to a simmer over medium-low heat and stir frequently until the sauce is smooth and just thickened, 5 to 7 minutes.
Paso 5: Remove meatballs from the oven and transfer to a large bowl. Pour glaze over meatballs and gently toss to coat evenly. Serve warm.",https://www.allrecipes.com/apple-butter-meatballs-recipe-8714730
Meatballs,Giant Lazy Meatballs,"These giant lazy meatballs are truly beautiful. Forget that we used just about the laziest method ever to make them, with no slicing and dicing, the taste and the texture are that of a properly made, high-quality meatball.",15 mins,45 mins,2 hrs 20 mins,8,"4 large slices white bread
1/2 cup milk
1 pound ground beef
1 pound ground pork
2 1/2 teaspoons kosher salt
1 teaspoon ground black pepper
1/4 teaspoon dried oregano
1 teaspoon onion powder
1 teaspoon garlic powder
1 pinch cayenne pepper
1 tablespoon olive oil
1/4 cup grated Parmigiano-Reggiano cheese
1/3 cup chopped fresh Italian parsley (optional)
2 large eggs,
2 cups tomato sauce
2 ounces Monterey Jack cheese
1/4 cup Parmigiano-Reggiano cheese
1 tablespoon Italian parsley",,https://www.allrecipes.com/giant-lazy-meatballs-recipe-8715240
Meatballs,Chicken Piccata Meatballs,"These chicken piccata meatballs cook in one pan with a delicious pan sauce of lemon, capers, white wine, and butter. They are great served over orzo, rice or angel hair pasta.",15 mins,15 mins,30 mins,4,"2  shallots
1/4 cup grated Parmesan cheese
1/4 cup half and half
1 cup seasoned bread crumbs
2 tablespoons finely minced parsley
1 large egg
2 tablespoons capers
1 pound ground chicken
1 teaspoon kosher salt
1/2 teaspoon pepper
1/4 teaspoon garlic powder
3 tablespoons olive oil
1/4 cup white wine
1 1/4 cups chicken stock
1 1/2 tablespoons fresh lemon juice
3 tablespoons butter, cut into cubes","Paso 1: Add half of shallots to a large bowl. Stir in Parmesan cheese, half and half, 1/3 cup bread crumbs, 1 tablespoon parsley, and egg. Roughly chop 1 tablespoon capers and add to the bowl; add ground chicken. Season with salt, pepper, and garlic powder. Mix gently together until everything is well incorporated.
Paso 2: Add remaining bread crumbs to a work surface or shallow dish.  Form chicken mixture into 12 meatballs, rolling each one lightly in bread crumbs to coat and to help shape the meatballs.
Paso 3: Heat oil in a large deep skillet over medium-high heat. Add meatballs to skillet and cook, turning occasionally, until browned on all sides, about 5 minutes, adding more oil if necessary. Remove meatballs from skillet and set aside.
Paso 4: Add remaining shallot and capers to the skillet and cook stirring constantly, for 1 minute.  Pour in wine and stock and bring to a boil. Return meatballs to the skillet, reduce heat, and simmer until liquid is reduced by half, stirring occasionally, to coat meatballs in the sauce, 6 to 7 minutes.
Paso 5: Once sauce is reduced, move meatballs to one side of the skillet and turn the heat to very low. Whisk in lemon juice and cold butter, stirring constantly, until well incorporated and slightly thickened. Stir in parsley and remove from heat. Toss meatballs well with sauce and serve immediately.",https://www.allrecipes.com/chicken-piccata-meatballs-recipe-8696288
Meatballs,Turkey Meatballs in Maple-Bourbon Mustard Sauce,"These turkey meatballs in maple-bourbon mustard sauce are juicy, moist, and made with simple ingredients. Serve as an appetizer or main course with a side of rice or noodles.",20 mins,35 mins,55 mins,4,"1/4 cup onion
6 tablespoons panko bread crumbs
1 large egg
1 tablespoon Worcestershire sauce
3 cloves garlic, minced
salt and freshly ground black pepper to taste
1 pound ground turkey
1/2 cup yellow mustard
1/2 cup maple syrup
2 tablespoons bourbon whiskey
1 tablespoon tomato paste
1/4 teaspoon salt
1/4 teaspoon ground black pepper
1 pinch cayenne
1 tablespoon butter
fresh parsley for garnish","Paso 1: Preheat the oven to 375 degrees F (190 degrees C). Line a rimmed baking sheet with aluminum foil. Place a baking rack on top, spray the rack with cooking spray, and set aside.
Paso 2: In a bowl, combine onion, panko, egg, Worcestershire, garlic, salt, and pepper. Add ground turkey, and gently mix together. Use a 1 tablespoon cookie scoop to gently shape into balls without packing too hard; place on the prepared baking rack.
Paso 3: Bake in the preheated oven until meatballs are cooked through, 15 to 20 minutes. An instant read thermometer inserted near the center should read 160 degrees F (71 degrees C).
Paso 4: Meanwhile, add mustard, maple syrup, bourbon, tomato paste, salt, pepper, and cayenne to a saucepan, and whisk until well combined. Cook over medium-low heat until sauce starts to thicken, 12 to 15 minutes. Add butter, and stir until melted.
Paso 5: Add meatballs to sauce; cook until meatballs are warmed up, 5 to 7 minutes. Transfer to a serving dish, and garnish with parsley.",https://www.allrecipes.com/turkey-meatballs-in-maple-bourbon-mustard-sauce-recipe-8685411
Meatballs,Chicken Ricotta Meatballs,"These ricotta chicken meatballs are both budget friendly and a lighter alternative to the traditional beef meatball, while still being flavorful and satisfying. The roasted tomato sauce is a delicious accompaniment.",20 mins,50 mins,1 hr 10 mins,6,"2 teaspoons oil
1/2  white onion
6 cloves garlic
1/2 teaspoon pepper
3/4 teaspoon salt
1/2 cup panko
1/4 cup ricotta cheese
1 large egg
1/2 teaspoon Italian seasoning
1 pound ground chicken
15  Roma tomatoes
1  onion
2 tablespoons olive oil
8 cloves garlic, peeled
1/2 teaspoon salt
1 teaspoon Italian seasoning
basil leaves, cut into thin strips, for garnish
shaved Parmesan, for garnish","Paso 1: Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with foil or parchment paper.
Paso 2: Heat olive oil in a skillet. Add onion and garlic, season with 1/4 teaspoon salt and 1/4 teaspoon pepper, and cook until soft and translucent, 3 to 5 minutes. Let cool to room temperature.
Paso 3: Combine panko and ricotta in a bowl and mix well. Add egg and season with remaining salt, pepper and Italian seasoning; mix to combine. Add ground chicken, and cooked onion and garlic mixture; mix gently to combine.
Paso 4: Shape into about 24 meatballs and place on the prepared baking sheet.
Paso 5: Bake meatballs in the preheated oven until no longer pink in the center and the juices run clear. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C),  about 20 minutes; remove to cool.
Paso 6: To make the sauce, preheat the oven to 425 degrees F (220 degrees C).
Paso 7: Coat the tomatoes with olive oil, then place cut side down in a single layer on a rimmed baking sheet. Add onion and garlic cloves to the baking sheet and sprinkle everything with salt.
Paso 8: Roast in the preheated oven until tomato skins begin to shrivel and tomatoes begin to release their juice, about 25 minutes.
Paso 9: Remove and let cool slightly. Carefully discard the skins.
Paso 10: Place tomatoes, onion, and garlic in a blender and blend to your preferred consistency. Stir in Italian seasoning and serve with chicken meatballs. Garnish with basil and shaved Parmesan.",https://www.allrecipes.com/chicken-ricotta-meatballs-recipe-8683251
Meatballs,Chicken Meatballs,"These quick and easy baked chicken meatballs come out tender, moist, savory, and slightly crispy where browned. Italian seasoning like oregano and basil, as well as garlic, and onion work well together to create a delicious flavor and aroma",15 mins,15 mins,40 mins,4,"1/4 cup olive oil, divided
1/3 cup panko
1/3 cup whole milk
1/4 cup grated Parmesan cheese
2 teaspoons italian seasoning
1 1/2 teaspoons orcestershire sauce
1 teaspoon kosher salt
1/2 teaspoon onion powder
1/2 teaspoon granulated garlic
1/4 teaspoon black pepper
1 pound ground chicken breast
1 large egg, lightly beaten","Paso 1: Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C) with a rack in the top third position. Line a large-rimmed baking sheet with parchment paper, and lightly grease with 1 tablespoon of the oil.
Paso 2: Stir together breadcrumbs and milk in a bowl until fully combined. Let stand at room temperature until milk is fully absorbed into breadcrumbs, about 10 minutes. Add Parmesan, Italian seasoning, Worcestershire sauce, salt, onion powder, granulated garlic, and pepper to the breadcrumb mixture, and stir to combine.
Paso 3: Mix together chicken, egg, and 2 tablespoons of the oil in a large bowl until combined. Fold breadcrumb mixture into chicken mixture until
just combined. Place chicken mixture in refrigerator, uncovered, and
chill until firm, about 10 minutes.
Paso 4: Gently shape chicken mixture into 20 (1 1/2-inch balls), and place on the prepared baking sheet leaving a 1-inch space between each meatball. Brush tops and sides of meatballs with remaining 1 tablespoon oil.
Paso 5: Bake in the preheated oven until browned and an instant-read thermometer inserted into the center of a meatball registers 165 degrees F (73 degrees C), 15 to 20 minutes, flipping after 8 minutes.",https://www.allrecipes.com/chicken-meatballs-recipe-8646171
Meatballs,Dill Pickle Meatballs,"Savory, tender, and packed with pickle flavor.",20 mins,20 mins,55 mins,4,"cooking Spray
1 pound 80/20 ground beef
3/4 cup round buttery cracker
1/3 cup yellow onion
1 large egg
1 teaspoon garlic powder
1/2 teaspoon black pepper
4 ounces feta cheese
1/4 cup finely chopped dill pickles
3/4 cup chopped fresh mixed herbs
1 1/4 teaspoon kosher salt
1/2 cup plain whole milk yogurt
2 cups buttered rice,",,https://www.allrecipes.com/dill-pickle-meatballs-recipe-8648374
Meatballs,Greek Turkey Meatballs,"These Greek turkey meatballs are perfect for your next Greek night at home, reminiscent of Greek-style kebabs, and they take no time to make.",20 mins,10 mins,30 mins,4 to 6,"nonstick cooking spray
1 pound ground turkey
2 ounces feta cheese
1/2 cup seasoned breadcrumbs
2 tablespoons olive oil
2 tablespoons red onion
2 tablespoons fresh mint
1 tablespoon fresh oregano
1 tablespoon parsley
3/4 teaspoon kosher salt
1/2 teaspoon ground black pepper
1/2 teaspoon garlic powder
1/2 teaspoon ground cumin
1/2 teaspoon lemon zest
1/4 teaspoon crushed red pepper
1 large egg","Paso 1: Gather all ingredients.
Paso 2: Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Line a large rimmed baking sheet with aluminum foil; spray with cooking spray.
Paso 3: Place ground turkey, feta, breadcrumbs, olive oil, red onion, mint, oregano, parsley, salt, black pepper, garlic powder, cumin, lemon zest, crushed red pepper, and egg in a large bowl; stir gently until well combined.
Paso 4: Using a cookie scoop or tablespoon, shape mixture into 24 (1-ounce) meatballs; arrange in an even layer on the prepared baking sheet. Generously spray meatballs with cooking spray.
Paso 5: Broil in the preheated oven until meatballs are golden brown on top, and an instant-read thermometer inserted into thickest portion of meatballs registers 165 degrees F (74 degrees C), 8 to 10 minutes. Rotate baking sheet from front to back halfway through cooking time. Garnish with oregano leaves, and serve with lemon wedges.",https://www.allrecipes.com/greek-turkey-meatballs-recipe-8654633
Meatballs,Harissa Chicken Meatballs,"These baked harissa meatballs are a flavorful twist on a classic dish. My favorite ways to serve these are as an appetizer with a lemon yogurt dipping sauce, or in a quinoa or couscous bowl with roasted veggies.",15 mins,20 mins,35 mins,4,"1 pound ground chicken
1/3 cup breadcrumbs
1 large egg, beaten
2 tablespoons harissa paste
3/4 teaspoon garlic powder
3/4 teaspoon salt
1/2 teaspoon ground cumin
1/2 teaspoon smoked paprika
1/4 teaspoon ground black pepper
2 tablespoons fresh mint (optional)","Paso 1: Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.
Paso 2: Combine ground chicken, breadcrumbs, egg, harissa, garlic powder, salt, cumin, paprika, and black pepper in a large bowl. Mix gently with a fork or damp hands just until thoroughly combined. Shape the mixture into approximately 24 meatballs; place on the prepared baking sheet.
Paso 3: Bake in the preheated oven until cooked through and lightly browned, 15 to 20 minutes. Sprinkle with mint. Serve hot with your favorite side dish or dipping sauce.",https://www.allrecipes.com/harissa-chicken-meatballs-recipe-8649926
Meatballs,Grilled Chicken Meatballs,"This technique for grilled chicken meatballs is the only way to go. By pre-baking the meatballs, they finish quickly on the grill, and stay moist and juicy every time. A hoisin-ginger glaze makes a beautiful, glossy meatball, but you can flavor them just about any way you want.",30 mins,25 mins,1 hr 55 mins,4,"1 pound ground chicken
1 tablespoon sesame oil
1 tablespoon soy sauce
1 tablespoon mirin
1 teaspoon kosher salt
1 pinch ground black pepper
1 pinch cayenne pepper
1/3 cup green onions
2 cloves garlic, crushed
2 tablespoons bread crumbs
1 tablespoon ketchup
2 tablespoons hoisin sauce
2 teaspoons fresh ginger
2 tablespoons rice vinegar
4  skewers",,https://www.allrecipes.com/grilled-chicken-meatballs-recipe-8648398
Meatballs,Quick Cabbage and Chicken Meatballs,"This quick cabbage and chicken meatballs is a meal with ingredients that you can find, and enough veggies to make you feel like an adult, with no compromise on flavor. It stores and reheats easily, so don't be afraid to make extra.",10 mins,10 mins,20 mins,4,"2 tablespoons unsalted butter, divided
1 (23-ounce) package prepared chicken meatballs
1  yellow onion, cut into bite-sized pieces
1/3 head cabbage, cut into small pieces
3 tablespoons marinara sauce
1/4 teaspoon reole seasoning, or to taste
1/4 teaspoon freshly ground black pepper, or to taste
1 pinch crushed red pepper flakes, or to taste","Paso 1: Melt 1 tablespoon butter in a large skillet over medium heat. Add meatballs and onion, and cook, stirring occasionally, just until onions become soft and translucent, about 5 minutes.
Paso 2: Stir in cabbage, the remaining 1 tablespoon butter, marinara, Creole seasoning, black pepper, and red pepper flakes. Stirring frequently, cook until cabbage is tender with a bite, about 3 minutes, or longer if you prefer more tender cabbage.",https://www.allrecipes.com/quick-cabbage-and-chicken-meatballs-recipe-8401790
Meatballs,Skillet Meatballs,"These skillet meatballs are tender on the inside and have a neutral taste, so they can be used any way you like —in pasta, soup, sandwiches, or as appetizers.",10 mins,14 mins,24 mins,5,"1 pound ground beef
1 large egg, beaten
1 tablespoon milk, or as needed
1/4 cup panko breadcrumbs
1/2  onion
1/4 cup grated Parmesan cheese
1/2 teaspoon granulated garlic
1/2 teaspoon salt
1/4 teaspoon pepper
3 tablespoons oil
2 tablespoons butter","Paso 1: In a small bowl, beat egg, and add in 1 tablespoon milk. Stir in panko breadcrumbs; let stand for 1 minute to soften slightly. Add ground beef.
Paso 2: Place onion in the bowl of a food processor and pulse until finely chopped.
Paso 3: Add onion, Parmesan, garlic, salt, and pepper to the bowl of ground beef. Using clean, gloved hands, combine mixture gently. If mixture feels tough, add 1 tablespoon milk. Shape mixture into 1 1/2-inch meatballs.
Paso 4: Heat oil and butter in a heavy skillet over medium heat. Place meatballs in a single layer, without crowding, into the skillet, and cook, turning and moving them around every 2 or 3 minutes, until well browned on all sides and no longer pink at the center, 10 to 14 minutes, adjusting temperature as needed. An instant-read thermometer inserted into the center should read at least 160 degrees F (71 degrees C). You may have to cook meatballs in batches.
Paso 5: Remove meatballs to a foil-lined drip tray. Serve with pasta and sauce if desired.",https://www.allrecipes.com/skillet-meatballs-recipe-8362352
Meatballs,Hoisin-Glazed Meatballs,"These 30-minute hoisin-glazed meatballs are sweet, saucy, and simple enough for a weeknight supper.",15 mins,15 mins,30 mins,4,"1 pound 80% lean ground beef
1/2 cup panko bread crumbs
1 large egg, lightly beaten
4 tablespoons soy sauce, divided
3 cloves garlic, minced
1 1/2 teaspoons fresh ginger
1/2 cup hoisin sauce
2 tablespoons honey
1  green onion, minced
2 tablespoons rice vinegar
2 teaspoons toasted sesame oil
1 tablespoon vegetable oil
1 pound green beans, trimmed
cooked white rice, for serving
toasted sesame seeds","Paso 1: Preheat oven to 400 degrees F (200 degrees C). Grease a baking sheet.
Paso 2: Put ground beef, panko, egg, 1 tablespoon soy sauce, 2 cloves garlic, and 1 teaspoon ginger in a bowl; stir until just combined (do not overwork). Gently shape mixture into 11/2-inch balls. Arrange on prepared baking sheet.
Paso 3: Bake 10 to 12 minutes or until an instant-read thermometer inserted into centers of meatballs registers 160 degrees F (71 degrees C).
Paso 4: Meanwhile, stir together hoisin sauce, honey, green onion, vinegar, sesame oil, and remaining 3 tablespoons soy sauce, 1 clove garlic, and 1/2 teaspoon ginger in a large saucepan. Cook over medium-low heat, stirring occasionally, until slightly reduced, about 5 minutes. Reserve 2 tablespoons sauce in a small bowl for green beans. Add meatballs to remaining sauce in saucepan; cook until flavors meld, about 2 minutes.
Paso 5: Meanwhile, heat vegetable oil in a large skillet over medium-high heat. Add beans; cook, stirring occasionally, until tender and lightly blistered, 4 to 5 minutes. Add reserved sauce to beans; stir to coat. Serve meatballs with beans over rice. Garnish with sesame seeds and green onion.",https://www.allrecipes.com/hoisin-glazed-meatballs-recipe-8347140
Meatballs,Peanut Butter Chicken Meatballs,"These Thai-inspired peanut butter chicken meatballs are a quick appetizer, ready in under 30 minutes, using a mix of creamy peanut butter, sweet Thai chili sauce, and fresh ginger.",10 mins,15 mins,25 mins,4,"1 pound ground chicken
1 large egg, beaten
1/2 cup panko bread crumbs
1/4 cup creamy peanut butter
1/4 cup chili sauce
1 tablespoon ginger","Paso 1: Preheat the oven to 450 degrees F (230 degrees C). Line a baking sheet with parchment paper.
Paso 2: Mix ground chicken, egg, bread crumbs, peanut butter, sweet Thai chili sauce, and ginger together in a large bowl.
Paso 3: Form the mixture into 1 1/2-inch balls and arrange on the prepared baking sheet.
Paso 4: Bake in the preheated oven until browned and no longer pink in the center, about 15 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).",https://www.allrecipes.com/peanut-butter-chicken-meatballs-recipe-7553256
Meatballs,Spicy Chicken Zucchini Meatballs,"These great spicy chicken zucchini meatballs begin with hot Italian sausage from the grocery; if your family prefers less spicy meatballs, look for “sweet Italian” chicken sausage. These are low-carb, too, since shredded zucchini replaces bread crumbs. You can use these meatballs in a main dish, with pasta or zoodles and a sauce of your choice, or use picks to dip in marinara sauce as an appetizer.",20 mins,25 mins,45 mins,6,"1 cup zucchini
1/2 teaspoon salt
1 1/2 pounds talian chicken sausage
1/2 cup onion
1/2 cup pecorino Romano cheese
2 teaspoons minced garlic
1 large egg, lightly beaten
olive oil cooking spray
1 cup marinara sauce (optional)","Paso 1: Make a bed of clean kitchen towels or paper towels, and spread out the zucchini shreds on it. Lightly sprinkle with salt, and allow to sit while preparing the other ingredients, about 15 minutes.
Paso 2: Preheat the oven to 400 degrees F (200 degrees C), and line a 12x18-inch sheet pan with parchment or foil.
Paso 3: În a large mixing bowl, combine chicken sausage, onion, pecorino Romano cheese, and garlic.
Paso 4: Roll up the towel bed with grated zucchini like a jelly roll, pressing as you go, to squeeze out excess liquid. Unroll, and add zucchini shreds to the other ingredients. Add egg and stir until all meatball ingredients are mixed well.
Paso 5: Form mixture into 18 to 20 2-inch meatballs and place on the prepared pan. Spray lightly with olive oil spray.
Paso 6: Bake meatballs in the center of the preheated oven until lightly browned, and an instant-read thermometer reads 165 degrees F (74 degrees C) inserted near the center of meatballs, 25 to 30 minutes.
Paso 7: Serve with purchased marinara as a dipping sauce, if desired.",https://www.allrecipes.com/spicy-chicken-zucchini-meatballs-recipe-7968537
Meatballs,Polpette (Italian Meatballs),"These tasty Italian meatballs (polpette) start off in the oven, and finish by simmering in a simple tomato sauce. We love them as a main dish, with a side of sautéed zucchini and a salad.",30 mins,40 mins,1 hr 10 mins,8,"1 pound ground sweet Italian pork sausage
1 pound ground beef
2/3 cup shallot
1/2 cup grated Parmesan cheese, plus more for serving
1/4 cup seasoned breadcrumbs
3 large eggs, lightly beaten
1/2 cup whole milk
1/2 teaspoon ground black pepper (see Note)
1 cup water
2 (24- ounce) jars tomato puree
5 cloves garlic, minced
1 teaspoon Italian herb seasoning blend
salt to taste
2 tablespoons extra virgin olive oil, or as needed
fresh basil leaves","Paso 1: Combine sausage, ground beef, shallot, Parmesan cheese, and breadcrumbs in a large bowl. Use a wooden spoon to break up the ground meat and roughly mix ingredients together. Stir in beaten eggs, milk, and black pepper. Use your hands to mix all ingredients well.
Paso 2: Preheat the oven to 400 degrees F (200 degrees C). Line a sheet pan with parchment paper or aluminum foil.
Paso 3: Pour water into a shallow bowl, and moisten fingertips and palms with water. Shape meatball mixture into about 40 ping-pong sized balls and place on the prepared sheet pan. When fingers become sticky, dip them in water.
Paso 4: Bake meatballs in the preheated oven until lightly browned and a bit underdone in the center, about 20 minutes. If meatballs are larger, adjust baking time.
Paso 5: Pour tomato purée into a large sauce pot or a Dutch oven set over medium-low heat. Stir in minced garlic and Italian herbs. Sample the sauce for seasoning, and adjust, if needed.
Paso 6: When sauce begins to bubble slightly, add meatballs and stir gently, coating all the meatballs with sauce. Keep meatballs and sauce at a low simmer and cook, uncovered, about 20 minutes.
Paso 7: To serve, place meatballs and sauce on a plate, drizzle with extra virgin olive oil, garnish with fresh basil leaves, and sprinkle with additional grated Parmesan cheese, if desired.",https://www.allrecipes.com/polpette-italian-meatballs-recipe-7499734
Meatballs,Chicken Parmesan Meatballs,"Make ground chicken meatballs and coat them in seasoned Panko crumbs for a beautifully browned color. Use jarred sauce from the grocery store for a shortcut in this cheesy, satisfying dish! We like it with ""zoodles,"" but fettuccine or spaghetti would be delicious! Garlic bread and a green salad are all you need to complete this meal.",20 mins,40 mins,1 hr,8,"1 large egg, beaten
¾ cup grated Parmesan cheese
1 ¾ cups Italian-style panko bread crumbs, divided
1 teaspoon garlic powder
1 teaspoon Italian seasoning
¾ teaspoon crushed red pepper flakes
½ teaspoon salt
½ teaspoon freshly ground black pepper
1 ½ pounds ground chicken
2 tablespoons olive oil, divided
2 tablespoons unsalted butter, divided
1 (28 ounce) jar marinara sauce
½ cup shredded mozzarella cheese
2 tablespoons snipped fresh parsley (Optional)","Paso 1: Stir egg, grated Parmesan cheese, 3/4 cup panko crumbs, garlic powder, Italian herb seasoning blend, crushed red pepper, salt, and black pepper together in a large bowl.
Paso 2: Put on a pair of food-grade disposable gloves, add chicken to the bowl, and mix with your hands until all the ingredients are well combined.
Paso 3: Place remaining 1 cup panko crumbs on a plate. Using a 1-1/2-inch scoop, create about 24 meatballs. Gently roll each meatball in crumbs until lightly coated; set aside on a plate.
Paso 4: Preheat oven to 350 degrees F (175 degrees C).
Paso 5: Place 1 tablespoon olive oil and 1 tablespoon butter in a large, oven-proof skillet over medium heat. Add half the meatballs and brown each side, turning until all sides are browned. Set this batch on a plate, and wipe the skillet clean.
Paso 6: Repeat with reserved oil and butter, and cook the remaining meatballs in the same way.
Paso 7: Wipe out the skillet again, and pour in marinara sauce. Place browned meatballs in sauce. They will not be submerged.
Paso 8: Bake in the preheated oven for 25 minutes. Sprinkle on shredded mozzarella and return to the oven for an additional 5 minutes, or until the cheese is melted. Sprinkle with fresh parsley.",https://www.allrecipes.com/recipe/8543745/chicken-parmesan-meatballs/
Meatballs,Chef John's Chicken Meatballs,"My take on an A16 Cookbook recipe by Chef Nate. Perfectly tender, moist, and flavorful meatballs that taste just like the real thing or maybe even better!",40 mins,20 mins,2 hrs 15 mins,4,"1 pound boneless, skinless chicken thighs, cut into 1-inch pieces
3 ounces pork fat, or fatty bacon, diced
3 ounces crumbled fresh French breadcrumbs
⅓ cup sautéed onions (Optional)
1 large egg, beaten
1 tablespoon white wine
3 cloves garlic, finely minced
¼ cup chopped parsley
1 ½ teaspoons kosher salt
½ teaspoon freshly ground black pepper
¼ teaspoon chili flakes
¼ teaspoon fennel seeds, crushed
4 cups prepared tomato sauce (Optional)
olive oil or cooking spray for greasing baking sheet",,https://www.allrecipes.com/recipe/8543040/chef-johns-chicken-meatballs/
Meatballs,Korean Barbecue-Style Meatballs,"I love anything Korean-BBQ style and I really love meatballs, so I knew I was going to love these — and I did! Make sure you deactivate the enzymes of the fresh ginger by soaking it in 1 tablespoon of vinegar for 5 minutes — otherwise, your meatballs will turn out soggy. Alternatively, you can add the ginger to the sauce.",20 mins,30 mins,1 hr 20 mins,4,"1 pound ground beef
2 teaspoons gochujang (Korean hot pepper paste)
1 teaspoon kosher salt
1 teaspoon freshly ground black pepper
1 tablespoon soy sauce
2 teaspoons grated fresh ginger (heated to 150 F degrees (65 degrees C) to deactivate enzymes, or soaked in 1 tablespoon vinegar for 5 minutes)
4 cloves garlic, finely minced
⅓ cup thinly sliced green onions, plus more for garnish
½ cup finely crushed buttery round crackers (such as Ritz®)
toasted sesame seeds for garnish
4 cloves garlic, minced
2 tablespoons rice wine vinegar
¾ cup beef broth or water
⅓ cup brown sugar
⅓ cup soy sauce
1 tablespoon gochujang (Korean hot pepper paste)
1 teaspoon sesame oil
1 teaspoon Sriracha hot sauce
2 teaspoons cornstarch
1 tablespoon water",,https://www.allrecipes.com/recipe/8470679/korean-barbecue-style-meatballs/
Meatballs,Grape Jelly Meatballs,Awesome grape jelly meatballs that are so easy to make in a slow cooker for a sweet and savory party appetizer!,10 mins,3 hrs,3 hrs 10 mins,24,"1 (32 ounce) jar grape jelly
2 (12 ounce) bottles tomato-based chili sauce (such as Heinz)
1 pinch cayenne pepper (Optional)
1 (6 pound) bag frozen cocktail-sized meatballs",,https://www.allrecipes.com/recipe/239824/grape-jelly-meatballs/
